name,borough,cuisine,street,building,zipcode,coord_longitude,coord_latitude,grade1_date,grade1_score,grade2_date,grade2_score,comment
Brunos On The Boulevard,Queens,American,Astoria Boulevard,8825,11369,-73.8803827,40.7643124,2014-11-15T00:00:00Z,4,2014-05-02T00:00:00Z,2,I will definitely be back!
La Piazza,Brooklyn,Mexican,5th Avenue,384,11465,-73.973752,40.749583,2014-10-18T00:00:00Z,1,2013-06-22T00:00:00Z,7,Great food!
El Sombrero,Staten Island,Greek,Broadway,2085,10639,-73.934655,40.878261,2015-05-02T00:00:00Z,8,2014-05-25T00:00:00Z,3,Great food!
Golden Dragon,Staten Island,Indian,Lexington Avenue,5761,11322,-73.889767,40.877654,2016-10-03T00:00:00Z,6,2015-04-01T00:00:00Z,6,Great food!
Sakura Garden,Brooklyn,Indian,Astoria Blvd,5364,10245,-73.898975,40.611021,2017-06-23T00:00:00Z,4,2016-02-12T00:00:00Z,2,Would come again!
Taj Mahal,Queens,French,5th Avenue,5025,10487,-73.824143,40.850249,2018-11-10T00:00:00Z,6,2017-05-27T00:00:00Z,5,Highly recommended!
Bangkok Spice,Queens,Caribbean,Flatbush Ave,8141,11577,-73.905336,40.601142,2014-12-17T00:00:00Z,4,2013-07-08T00:00:00Z,6,Average experience.
Green Earth,Manhattan,Japanese,Astoria Blvd,4612,10763,-73.922865,40.616138,2015-12-23T00:00:00Z,6,2014-01-04T00:00:00Z,7,Would come again!
Island Grill,Brooklyn,Chinese,Flatbush Ave,822,11020,-73.950812,40.683311,2016-02-24T00:00:00Z,5,2015-08-07T00:00:00Z,3,Would come again!
Le Petit Paris,Bronx,Vegan,5th Avenue,1489,10108,-73.961697,40.769175,2017-05-26T00:00:00Z,3,2016-04-06T00:00:00Z,8,Great food!
Seoul Kitchen,Queens,Chinese,Flatbush Ave,3869,11208,-73.980873,40.610396,2018-02-05T00:00:00Z,2,2017-01-07T00:00:00Z,7,Average experience.
Mama Mia,Brooklyn,French,Flatbush Ave,2392,10359,-73.97096,40.766054,2014-08-05T00:00:00Z,8,2013-11-02T00:00:00Z,3,Highly recommended!
Curry Palace,Bronx,Mexican,Lexington Avenue,9481,11558,-73.838052,40.864335,2015-11-15T00:00:00Z,10,2014-05-16T00:00:00Z,5,Average experience.
Blue Ocean,Brooklyn,Italian,Flatbush Ave,1988,10764,-73.983817,40.838923,2016-02-17T00:00:00Z,8,2015-01-18T00:00:00Z,7,Great food!
Casa Blanca,Brooklyn,Chinese,Flatbush Ave,8411,10182,-73.810184,40.84482,2017-08-22T00:00:00Z,6,2016-10-13T00:00:00Z,9,Great food!
Spice Route,Staten Island,Indian,Flatbush Ave,5882,10049,-73.930609,40.711573,2018-02-08T00:00:00Z,4,2017-06-01T00:00:00Z,10,Great food!
Happy Dumplings,Queens,Caribbean,Broadway,1142,11349,-73.917198,40.766824,2014-06-22T00:00:00Z,10,2013-05-07T00:00:00Z,6,Excellent service!
The Vegan Spot,Bronx,Caribbean,Bedford Ave,6642,11644,-73.924735,40.666809,2015-09-21T00:00:00Z,3,2014-04-02T00:00:00Z,10,Would come again!
Caribbean Delight,Brooklyn,Caribbean,Bedford Ave,5875,10649,-73.811784,40.694068,2016-01-18T00:00:00Z,7,2015-09-17T00:00:00Z,4,Excellent service!
Pizza Roma,Staten Island,French,Broadway,8624,11335,-73.812536,40.60451,2017-06-18T00:00:00Z,1,2016-09-07T00:00:00Z,2,Would come again!
Restaurant_1,Manhattan,Mexican,Bedford Ave,200,11492,-73.963461,40.831605,2014-01-18,2,2013-01-26,7,Good experience.
Restaurant_2,Brooklyn,Caribbean,Lexington Avenue,2087,10784,-73.803748,40.737886,2014-08-05,1,2013-04-16,5,Would visit again.
Restaurant_3,Queens,Chinese,5th Avenue,9576,11302,-73.961573,40.774284,2014-01-21,1,2013-01-27,3,Excellent!
